Transaction_ID,Invoice_Number,Vendor,Department,Amount,Invoice_Date,Due_Date,Payment_Date,Payment_Method,PO_Status,Country,Currency,High_Value,Missing_PO,Late_Payment,Duplicate_Invoice,Risk_Score,Risk_Level
TRX100001,INV200001,Amazon,Finance,19795.67,2026-03-26,2026-04-25,2026-04-16,Wire,Yes,United States,USD,False,False,False,False,1,Medium
TRX100002,INV200002,HP,Finance,2264.52,2025-08-13,2025-09-12,2025-09-02,ACH,Yes,Canada,CAD,False,False,False,False,0,Low
TRX100003,INV200003,HP,Sales,2854.09,2025-11-12,2025-12-12,2025-12-25,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100004,INV200004,IBM,Sales,100489.18,2025-10-24,2025-11-23,2025-11-14,ACH,Yes,United States,USD,True,False,False,False,1,Medium
TRX100005,INV200005,Microsoft,Engineering,1335.78,2026-04-30,2026-05-30,2026-06-17,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100006,INV200006,NVIDIA,Customer Service,788.6,2026-04-08,2026-05-08,2026-05-02,Credit Card,Yes,Mexico,MXN,False,False,False,False,0,Low
TRX100007,INV200007,Lenovo,IT,8357.69,2026-06-26,2026-07-26,2026-07-21,ACH,Yes,United Kingdom,GBP,False,False,False,False,0,Low
TRX100008,INV200008,Apple,Customer Service,5387.98,2025-09-04,2025-10-04,2025-10-01,ACH,No,United States,USD,False,True,False,False,2,Medium
TRX100009,INV200009,PwC,Sales,8444.23,2026-01-05,2026-02-04,2026-02-08,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100010,INV200010,Apple,Sales,135077.01,2025-08-14,2025-09-13,2025-09-17,Wire,Yes,Germany,EUR,True,False,True,False,3,High
TRX100011,INV200011,Accenture,Marketing,2541.61,2025-10-23,2025-11-22,2025-11-16,Wire,Yes,United States,USD,False,False,False,False,1,Medium
TRX100012,INV200012,NVIDIA,Sales,70749.76,2026-02-04,2026-03-06,2026-02-24,Check,Yes,United States,USD,True,False,False,False,1,Medium
TRX100013,INV200013,HP,Customer Service,3878.03,2025-08-13,2025-09-12,2025-10-14,ACH,Yes,United Kingdom,GBP,False,False,True,False,1,Medium
TRX100014,INV200014,Amazon,Operations,40035.11,2025-10-15,2025-11-14,2025-11-20,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100015,INV202797,Adobe,Supply Chain,30307.27,2026-03-29,2026-04-28,2026-04-28,ACH,Yes,United States,USD,False,False,False,True,3,High
TRX100016,INV200016,IBM,HR,31575.16,2026-02-19,2026-03-21,2026-03-30,Check,Yes,United States,USD,False,False,True,False,1,Medium
TRX100017,INV200017,Amazon,HR,43266.62,2025-10-23,2025-11-22,2025-11-12,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100018,INV200018,KPMG,Compliance,7629.96,2026-03-07,2026-04-06,2026-04-09,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100019,INV200019,Deloitte,Compliance,9647.19,2026-05-27,2026-06-26,2026-08-05,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100020,INV200020,NVIDIA,Procurement,28059.45,2025-08-06,2025-09-05,2025-08-27,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100021,INV200021,Google,Finance,6347.92,2026-05-25,2026-06-24,2026-06-14,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100022,INV200022,KPMG,Sales,7261.19,2026-04-16,2026-05-16,2026-05-26,ACH,Yes,Mexico,MXN,False,False,True,False,1,Medium
TRX100023,INV200023,Cisco,Accounting,4367.41,2025-12-06,2026-01-05,2026-01-02,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100024,INV200024,Amazon,Finance,3459.1,2025-09-29,2025-10-29,2025-11-02,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100025,INV200025,Oracle,IT,8757.41,2026-07-20,2026-08-19,2026-08-17,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100026,INV200026,Dell Technologies,Accounting,177304.36,2025-12-05,2026-01-04,2026-01-01,ACH,Yes,Germany,EUR,True,False,False,False,1,Medium
TRX100027,INV200027,Oracle,Legal,3965.18,2025-09-06,2025-10-06,2025-11-16,ACH,Yes,United Kingdom,GBP,False,False,True,False,1,Medium
TRX100028,INV200028,PwC,Operations,16191.87,2025-09-08,2025-10-08,2025-09-28,ACH,Yes,Canada,CAD,False,False,False,False,0,Low
TRX100029,INV200029,Microsoft,Finance,5078.22,2026-06-10,2026-07-10,2026-07-13,ACH,Yes,Mexico,MXN,False,False,True,False,1,Medium
TRX100030,INV200030,Apple,Customer Service,8632.01,2026-03-12,2026-04-11,2026-04-10,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100031,INV205192,HP,Operations,5275.55,2026-05-26,2026-06-25,2026-07-17,Wire,Yes,United States,USD,False,False,True,True,5,High
TRX100032,INV200032,IBM,Operations,4626.52,2026-04-28,2026-05-28,2026-07-12,ACH,Yes,South Korea,KRW,False,False,True,False,1,Medium
TRX100033,INV200033,Amazon,Accounting,5108.26,2026-02-16,2026-03-18,2026-03-13,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100034,INV200034,Oracle,Procurement,38141.6,2026-07-26,2026-08-25,2026-08-25,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100035,INV200035,Amazon,Marketing,8908.16,2025-12-20,2026-01-19,2026-01-22,ACH,Yes,Canada,CAD,False,False,True,True,4,High
TRX100036,INV200036,Cisco,Operations,2713.44,2026-02-22,2026-03-24,2026-03-14,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100037,INV200037,Dell Technologies,HR,35484.54,2026-06-03,2026-07-03,2026-06-30,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100038,INV200038,Apple,Engineering,131838.54,2026-03-18,2026-04-17,2026-04-27,ACH,Yes,United States,USD,True,False,True,False,2,Medium
TRX100039,INV200039,NVIDIA,R&D,55984.23,2026-06-15,2026-07-15,2026-07-15,ACH,Yes,Canada,CAD,True,False,False,False,1,Medium
TRX100040,INV200040,HP,Customer Service,47030.55,2026-03-03,2026-04-02,2026-03-25,Credit Card,Yes,Germany,EUR,False,False,False,False,0,Low
TRX100041,INV200041,Dell Technologies,Marketing,23287.42,2026-04-18,2026-05-18,2026-06-28,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100042,INV200042,Oracle,R&D,25301.67,2025-08-20,2025-09-19,2025-09-16,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100043,INV200043,SAP,Compliance,19103.82,2025-10-26,2025-11-25,2025-11-18,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100044,INV200044,Adobe,HR,4056.82,2025-11-17,2025-12-17,2026-01-19,ACH,Yes,Mexico,MXN,False,False,True,False,1,Medium
TRX100045,INV200045,Adobe,Marketing,9837.15,2025-09-02,2025-10-02,2025-10-01,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100046,INV200046,CDW,Supply Chain,9005.1,2025-10-28,2025-11-27,2025-11-17,Wire,Yes,Germany,EUR,False,False,False,False,1,Medium
TRX100047,INV200047,PwC,Operations,39678.0,2025-09-09,2025-10-09,2025-10-04,ACH,Yes,Germany,EUR,False,False,False,False,0,Low
TRX100048,INV200048,CDW,HR,1333.79,2025-11-13,2025-12-13,2026-01-14,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100049,INV200049,SAP,Supply Chain,4262.42,2026-03-24,2026-04-23,2026-05-30,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100050,INV200050,Lenovo,Supply Chain,22155.0,2025-12-15,2026-01-14,2026-01-13,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100051,INV200051,Cisco,Supply Chain,9021.69,2025-12-17,2026-01-16,2026-01-19,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100052,INV200052,CDW,HR,9524.8,2025-10-19,2025-11-18,2025-11-12,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100053,INV200053,Google,Procurement,7708.04,2025-11-09,2025-12-09,2025-12-09,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100054,INV200054,Lenovo,Sales,6907.46,2026-07-12,2026-08-11,2026-08-25,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100055,INV200055,Oracle,R&D,127693.66,2026-03-29,2026-04-28,2026-04-21,Check,Yes,United States,USD,True,False,False,False,1,Medium
TRX100056,INV200056,Accenture,Operations,5633.36,2026-03-14,2026-04-13,2026-04-10,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100057,INV200057,PwC,Procurement,39746.22,2025-10-05,2025-11-04,2025-10-29,Wire,Yes,United States,USD,False,False,False,False,1,Medium
TRX100058,INV200058,Deloitte,Procurement,2818.51,2026-04-27,2026-05-27,2026-05-21,ACH,Yes,Germany,EUR,False,False,False,False,0,Low
